index,İlan Başlığı,Semt,Mahalle,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
259, AVCILAR CİHANGİRDE 2+1 SATILIK DAİRE , Avcılar, Cihangir Mahallesi,2+1,11-20,4,Giriş,70,1,0,KombiDoğalgaz,225000
260, AVCILAR ÜNİVERSİTE MH. SATILIK 3+1 LÜKS DAİRE 130MT, Avcılar, Üniversite Mahallesi,3+1,0,5,1. Kat,130,2,0,KombiDoğalgaz,800000
261,PENDİK BATI MAH 2+1 65 m2 NETKULLANIMLI HASTANEYE KOMŞU DAİRE, Pendik, Batı Mahallesi,2+1,0,6,3. Kat,80,1,0,KombiDoğalgaz,680000
262,PENDİK ÜST KAYNARCA SATILIK 2+1 DAİRE, Pendik, Fevzi Çakmak Mahallesi,2+1,20,5,3. Kat,80,2,0,KombiDoğalgaz,260000
263,GÜZELYALI E5 ALTINDA KONUMU GÜZEL SATILIK DAİRE, Pendik, Güzelyalı Mahallesi,2+1,11-20,5,5. Kat,110,1,0,KombiDoğalgaz,269500
264, FIRSATTIR FENERYOLUNDA BAĞDATA 4.BİNA SIFIR GENİŞ 2+1 EBEVEYNLİ, Kadıköy, Feneryolu Mahallesi,2+1,0,8,3. Kat,120,2,0,KombiDoğalgaz,1900000
265, Avrupa Konutları 1 Sitesinde 126 m2 Satılık 3+1, Küçükçekmece, Atakent Mahallesi,3+1,11-20,14,10-20,126,2,1,KombiDoğalgaz,1830000
266,Atakent 3.Etap'da Tadilatlı 130m2 548Ada 3+1 Satılık Daire, Küçükçekmece, Atakent Mahallesi,3+1,11-20,6,Giriş,150,1,0,Merkezi(PayÖlçer),1225000
267," SAHİBİNDEN KARADAĞ (MONTENEGRO) BAR'DA, SATILIK 1+1 DAİRE", Kadıköy, Feneryolu Mahallesi,1+1,0,5,1. Kat,63,1,0,Klimalı,880000
268," SAHİBİNDEN KARADAĞ (MONTENEGRO) BAR'DA, SATILIK 1+1 DAİRE", Beşiktaş, Etiler Mahallesi,1+1,0,5,Giriş,54,1,0,Klimalı,730000
269,Atakent 3.Etap'da Tadilatlı 130m2 548Ada 3+1 Satılık Daire, Küçükçekmece, Atakent Mahallesi,3+1,11-20,6,Giriş,150,1,0,Merkezi(PayÖlçer),1225000
270," SAHİBİNDEN KARADAĞ (MONTENEGRO) BAR'DA, SATILIK 1+1 DAİRE", Kadıköy, Feneryolu Mahallesi,1+1,0,5,1. Kat,63,1,0,Klimalı,880000
271," SAHİBİNDEN KARADAĞ (MONTENEGRO) BAR'DA, SATILIK 1+1 DAİRE", Beşiktaş, Etiler Mahallesi,1+1,0,5,Giriş,54,1,0,Klimalı,730000
272,TURYAP ALİBEYKÖY'DEN VADİ PARK SİTESİ 2+1 SATILIK DAİRE, Eyüpsultan, Alibeyköy Mahallesi,2+1,3,11,4. Kat,120,1,0,Merkezi(PayÖlçer),840000
273,Beylikdüzü Kavaklı Mahallesi Satılık 2+1 Daire, Beylikdüzü, Kavaklı Mahallesi,2+1,2,3,1. Kat,90,1,0,KombiDoğalgaz,550000
274,Yenibosna Hürriyet mahallesinde satılık 3+1 daire metroya yakın  , Bahçelievler, Hürriyet Mahallesi,3+1,4,5,1. Kat,135,1,0,KombiDoğalgaz,730000
275," SAHİBİNDEN KARADAĞ (MONTENEGRO) BAR'DA, SATILIK 1+1 DAİRE", Beşiktaş, Bebek Mahallesi,1+1,0,5,Giriş,63,1,0,Klimalı,850000
276, ÇEKMEKÖY DE SATILIK DAİRE, Çekmeköy, Merkez Mahallesi,2+1,0,6,3. Kat,87,1,0,KombiDoğalgaz,445000
277, MEYDAN EMLAKTAN ATATÜRK MAHALLESİ SATILIK DUBLEKS METRO YANI, Küçükçekmece, Atatürk Mahallesi,2+2,4,4,Çatı Dubleks,130,2,0,KombiDoğalgaz,480000
278,METROBÜSE 12 DK BEYLİKDÜZÜ YAKUPLU MAHALLESİNDE BÜYÜK 2+1 DAİRE, Beylikdüzü, Yakuplu Mahallesi,2+1,0,5,2. Kat,110,2,0,KombiDoğalgaz,440000
279, Atakent Mahallesi 2.Etap Bahçe Kullanımlı 109 m2 3+1 Dubleks, Küçükçekmece, Atakent Mahallesi,3+1,20,4,Bahçe Dublex,120,1,0,MerkeziDoğalgaz,1300000
280, KOZA EMLAK'TAN KADIKÖY'DE SATILIK DAİRE, Kadıköy, Osmanağa Mahallesi,2+1,20,5,-2,90,1,0,KombiDoğalgaz,800000
281, FATİH EMLAK TAN KREDİYE UYGUN  3+1 MUHTEŞEM DAİRE  , Bahçelievler, Yenibosna Merkez Mahallesi,3+1,5-10,4,3. Kat,125,1,0,KombiDoğalgaz,625000
282, GAYRETTEPEDE 3+1 145 m2 4. KAT OTOPARKLI ASANSÖRLÜ ÇİFT BALKONLU, Beşiktaş, Gayrettepe Mahallesi,3+1,20,4,4. Kat,145,1,0,MerkeziDoğalgaz,1600000
283, Çekmeköy Alemdağ İnci Evleri Sitesi'nde Satılık 3+1 Daire, Çekmeköy, Alemdağ Mahallesi,3+1,11-20,7,Giriş,145,1,0,KombiDoğalgaz,695000
284, Maltepe Fındıklı'da Kaçırılmayacak Fırsat Satılık 3+1 Daire, Maltepe, Fındıklı Mahallesi,3+1,11-20,4,Bodrum,105,1,0,KombiDoğalgaz,380000
285, ÇEVİK'TEN KUZGUNCUK SAHİLE 2 DK KAPANMAZ MANZARALI 160M2, Üsküdar, Kuzguncuk Mahallesi,3+1,11-20,6,1. Kat,160,1,0,MerkeziDoğalgaz,3250000
286, FATİH MAH TÜRKİYE EMLAK 1+1 KREDİLİ 65m BAHCE KAT DAİRE KOD 1927, Esenler, Fatih Mahallesi,1+1,4,4,Bahçe Katı,65,1,0,KombiDoğalgaz,170000
287,YÜZYIL KIŞLA CADDESİ KÖŞE BAŞI UYGUN, Bağcılar, 100. Yıl Mahallesi,2+1,4,4,4. Kat,150,2,0,KombiDoğalgaz,550000
288,CEBECİ MAH SATILIK 3+1 DAİRE 135 M, Sultangazi, Cebeci Mahallesi,3+1,11-20,7,1. Kat,140,1,0,KombiDoğalgaz,420000
289, Atakent 1.Etap 2+1 Sutek'de 87m2 Satılık Daire, Küçükçekmece, Atakent Mahallesi,2+1,20,14,8. Kat,100,1,1,Merkezi(PayÖlçer),680000
290, FEBA TEK YETLİLİ!KOMPLE ÖZGÜRLÜK PARKIMANZ.3YAŞINDA TERAS DUBLEX, Kadıköy, Göztepe Mahallesi,4+2,3,11,10-20,220,3,0,Merkezi(PayÖlçer),3600000
291,EGE EMLAKTAN ÇAĞLAYAN MH VATAN CADDE SATILIK 3+1 DAIRE , Kağıthane, Çağlayan Mahallesi,3+1,0,6,5. Kat,120,1,0,KombiDoğalgaz,675000
292,FAMİLY GAYRİMENKUL DEN SATILIK 2+1 DAİRE , Bahçelievler, Şirinevler Mahallesi,2+1,0,5,Bahçe Katı,80,1,0,KombiDoğalgaz,395000
293,MASLAK MY HOME FIRSAT SATILIK KELEPİR 1+1, Sarıyer, Ayazağa Mahallesi,1+1,5-10,30,5. Kat,78,1,0,Merkezi(PayÖlçer),1040000
294,AVANGART İSTANBUL SIFIR SATILIK TAPULU 4+1, Sarıyer, Ayazağa Mahallesi,4+1,0,9,5. Kat,220,1,0,Merkezi(PayÖlçer),4250000
295,EGE EMLAKTAN ÇAĞLAYAN MH SATILIK 2+1 DAIRE , Kağıthane, Çağlayan Mahallesi,2+1,0,7,3. Kat,110,1,0,KombiDoğalgaz,565000
296,DEPREM SONRASİ 3+1 135 M2 NET GENİS DAİRE EBEVEYN BANYOLU , Büyükçekmece, Atatürk Mahallesi,3+1,11-20,4,3. Kat,150,2,0,KombiDoğalgaz,640000
297,"REM TÜRKİYE, YAKACIK AYAZMA'DA EMSALSİZ 6+2 VİLLA", Kartal, Yakacık Çarşı Mahallesi,6+2,5-10,4,Giriş,550,5,0,KombiDoğalgaz,5250000
298,Kocamustafapaşa Alipaşa caddesi yakınında 2+1 satılık daire, Fatih, Cerrahpaşa Mahallesi,2+1,20,4,3. Kat,100,1,0,KombiDoğalgaz,470000
299,FAMİLY GAYRİMENKUL MERKEZ MAHALLESİ 120 M2 3+1 SATILIK DAİRE, Bahçelievler, Hürriyet Mahallesi,3+1,11-20,4,4. Kat,130,1,0,KombiDoğalgaz,680000
300,Şişli Teşvikiye 2+1 85m2 Amerikan Hastanesi Sokağı'AKDERE EMLAK, Şişli, Teşvikiye Mahallesi,2+1,4,5,3. Kat,90,1,0,KombiDoğalgaz,2650000
301," Next House'dan, Esenler'de, Site İçi, 3+1, 169 M2, Fırsat.", Esenler, Birlik Mahallesi,3+1,0,14,6. Kat,169,2,0,KombiDoğalgaz,985000
302," Next House'dan Toya Moda'da 1+1 62M2,Fırsat,Daire", Küçükçekmece, Tevfik Bey Mahallesi,1+1,3,12,5. Kat,62,1,1,Merkezi(PayÖlçer),665000
303, ACIBADEM SAKİNLERE YAKIN 4+1 DUBLEX SIFIR SATILIK, Kadıköy, Acıbadem Mahallesi,4+1,0,5,Çatı Dubleks,220,2,0,KombiDoğalgaz,1850000
304, ACIBADEM SAKİNLERDE 3+1 ARA KAT DUBLEX SIFIR SATILIK , Kadıköy, Acıbadem Mahallesi,3+1,0,5,1. Kat,120,2,0,KombiDoğalgaz,1225000
305,BAHÇELİEVLER KOCASİNAN DA 3+1 DAİRE, Bahçelievler, Kocasinan Merkez Mahallesi,3+1,5-10,4,-3,150,1,0,KombiDoğalgaz,870000
306,Yiğit Emlak Solarkent Sitesi 3+1 138 m2 Satılık Daire, Esenyurt, Akevler Mahallesi,3+1,5-10,30,10-20,138,2,0,KombiDoğalgaz,750000
307, Bağcılar Mahmutbey Mahallesi Satılık Daire 3+1 Krediye Uygun, Bağcılar, Mahmutbey Mahallesi,3+1,5-10,3,2. Kat,120,1,0,KombiDoğalgaz,650000
308,İSTANBUL BAHÇELİEVLER KOCASİNAN DA 2+1 SATILIK DAİRE, Bahçelievler, Kocasinan Merkez Mahallesi,2+1,3,4,-3,95,1,0,KombiDoğalgaz,550000
309,temiz köşe villa, Başakşehir, Bahçeşehir 2. Kısım Mahallesi,4+2,11-20,4,Villa Tipi,360,3,0,KombiDoğalgaz,2450000
310,BAYRAMPAŞA YILDIRIM MAHALLESİNDE SATILIK DAİRE, Bayrampaşa, Yıldırım Mahallesi,3+1,11-20,5,4. Kat,167,1,0,KombiDoğalgaz,1035000
311, FATİH MAH TÜRKİYE EMLAK 3+1 4.KAT 134m2 DAİRE KOD 1920, Esenler, Fatih Mahallesi,3+1,20,4,4. Kat,134,2,0,KombiDoğalgaz,395000
312,BAĞCILARDA SATILIK 2+1 DAİRE, Bağcılar, Kemalpaşa Mahallesi,2+1,3,3,-3,90,1,0,KombiDoğalgaz,330000
313,SANCAKTEPE YENİDOĞAN MAH. 2+1 115m2 SİTE İÇİ SATILIK GİRİŞ KAT, Sancaktepe, Yenidoğan Mahallesi,2+1,5-10,6,Giriş,105,1,0,KombiDoğalgaz,315000
314, CB META'DAN SARIYER ZEKERİYAKÖY'DE 5+2 430 m2 VİLLA, Sarıyer, Uskumruköy Mahallesi,5+2,0,4,Villa Tipi,430,5,0,KombiDoğalgaz,12000000
315, GÖZTEPEDE ÇEVİKTEN BAĞDAT CD YAKIN HAVUZLU RESİDENCE DAİRESİ 3+1, Kadıköy, Göztepe Mahallesi,3+1,5-10,16,1. Kat,135,2,0,KombiDoğalgaz,3200000
316,EMLAK EVİM'DEN KAT EKSİKLİĞİ AVANTAJLI SATILIK 2+1 DAİRE, Bahçelievler, Çobançeşme Mahallesi,2+1,20,3,2. Kat,85,1,0,KombiDoğalgaz,309000
317, Güneş Park Evlerinde 195 m2 Satılık 4+1 , Küçükçekmece, Atakent Mahallesi,4+1,11-20,14,10-20,195,2,1,KombiDoğalgaz,2500000
318,EMLAK EVİM'DEN SEFA HASTANESİ CİVARI SATILIK 2+1 DAİRE, Bahçelievler, Zafer Mahallesi,2+1,11-20,4,2. Kat,93,1,0,KombiDoğalgaz,425000
319,TEM'DEN CENGİZ TOPEL  CADDESİ'NE PARALEL SOKAKDA 3. KAT ÖNÜ AÇIK, Ümraniye, Esenevler Mahallesi,2+1,11-20,4,3. Kat,95,2,0,KombiDoğalgaz,545000
320, Bahçelievler UEFA Kupası Yakını Yatırımlık 1600 TL Kiracılı 1+1, Bahçelievler, Siyavuşpaşa Mahallesi,1+1,20,5,Bahçe Katı,65,1,0,IsıtmaYok,165000
321,SANCAKTEPE YENİDOĞAN CADDE ÜSTÜNDE 2+1 BALKONLU DAİRE, Sancaktepe, Merve Mahallesi,2+1,5-10,4,3. Kat,75,1,0,KombiDoğalgaz,325000
322,GAZİOSMANPAŞA HÜRRİYET MAHALLESİNDE SATILIK DAİRE, Gaziosmanpaşa, Hürriyet Mahallesi,2+1,20,5,Giriş,100,1,0,KombiDoğalgaz,365000
323,ŞİŞLİ FULYA CEVAHİR AVM YAKINI 3+1 KOMBİLİ SATILIK DAİRE, Şişli, Fulya Mahallesi,3+1,20,4,2. Kat,106,1,0,KombiDoğalgaz,575000
324, AYRICALIKLI YAŞAM ARAYANLAR İÇİN ÖZEL VİLLA, Sarıyer, Zekeriyaköy Mahallesi,4+1,2,4,Giriş,435,4,0,YerdenIsıtma,10500000
325,Çevik Emlaktan Bağdat Caddesine yürüme mesafesinde 240m2 Teraslı , Kadıköy, Göztepe Mahallesi,4+2,5-10,9,9. Kat,240,3,0,Merkezi(PayÖlçer),4850000
326, METROYA YAKIN TARİFİKOLAY DERYA İŞ MERKEZİNDE KİRACILI OFİS&BÜRO, Kadıköy, Rasimpaşa Mahallesi,1 Oda,20,5,1. Kat,25,0,0,MerkeziDoğalgaz,230000
327, Bahçelievler Siyavuşpaşa Satılık Bahçekatı 2+1 60 m2 , Bahçelievler, Siyavuşpaşa Mahallesi,1+1,20,5,Bahçe Katı,60,1,0,IsıtmaYok,165000
328,IG1967 KURTULUŞ 3+1 130 M2 MASRAFSIZ BÜYÜK DAİRE, Şişli, Bozkurt Mahallesi,3+1,20,4,4. Kat,130,1,0,KombiDoğalgaz,680000
329,TURYAP ALİBEYKÖY'DEN YILDIZPARK MODERN SİTESİ SATILIK 3+1 DAİRE, Gaziosmanpaşa, Yıldıztabya Mahallesi,3+1,1,18,3. Kat,150,2,0,Merkezi(PayÖlçer),1025000
330, FATİH EMLAK TAN KREDİYE UYGUN 2+1 ASANSÖRLÜ ÇAKMAK DURAGI YAKINI, Bahçelievler, Yenibosna Merkez Mahallesi,2+1,5-10,4,3. Kat,95,1,0,KombiDoğalgaz,495000
331,AĞAOĞLU MY WORLD EUROPE 3+1 169m2 FULL+LÜKS EŞYALI , Başakşehir, Ziya Gökalp Mahallesi,3+1,4,29,21-29,169,2,1,Merkezi(PayÖlçer),2200000
332,Bağcılarda satılık Dubleks daire , Bağcılar, Fatih Mahallesi,5+1,20,6,5. Kat,210,2,0,KombiDoğalgaz,520000
333,BAKIRKÖY Y MAHMARMARAY İST SAHİLE PAZARA YAKIN KOMBİLİ 1.KAT, Bakırköy, Yenimahalle Mahallesi,1+1,20,4,1. Kat,80,1,0,KombiDoğalgaz,520000
334,PENDİK DUMLUPINAR`DA(GÖZDAĞI)KAPANMAZ DENİZ MANZARALI 4+1 DUBLEX, Pendik, Dumlupınar Mahallesi,4+1,4,9,9. Kat,160,1,0,KombiDoğalgaz,750000
335,BÜYÜKÇEKMECE AKBELDE ST. SATILIK DAİRE GÖLMANZARALI, Büyükçekmece, Murat Çeşme Mahallesi,3+1,11-20,5,5. Kat,140,1,0,KombiDoğalgaz,440000
336, ETİLER CENGİZ TOPEL DE KORU MANZARALI BAHÇELİ SATILIK DAİRE, Beşiktaş, Etiler Mahallesi,3+1,20,4,Bahçe Katı,130,1,0,MerkeziDoğalgaz,2600000
337, Atakent Mahallesi 2 Etap Bahçe Kullanımlı 3+1 Dubleks Daire, Küçükçekmece, Atakent Mahallesi,3+1,11-20,5,Bahçe Katı,140,2,0,Merkezi(PayÖlçer),1300000
338,Yiğit Emlak Solarkent Sitesi 1+1 72 m2 Satılık Daire, Esenyurt, Akevler Mahallesi,1+1,5-10,30,21-29,72,1,0,KombiDoğalgaz,350000
339,ÇATALCADA  SATILIK LÜX VİLLA, Çatalca, İzzettin Mahallesi,3+2,11-20,2,Müstakil,250,2,0,KombiDoğalgaz,3500000
340,ŞİŞLİ MECİDİYEKÖYDE 160m2 3+1 TERASLI KOMBİLİ ASANSÖRLÜ FERAH, Şişli, Mecidiyeköy Mahallesi,3+1,20,7,7. Kat,170,1,0,KombiDoğalgaz,875000
341,GÖKTAŞ YAPI'DAN NEZİH KONUMDA 3+1 METROBÜSE YAKIN ARA KAT DAİRE!, Esenyurt, Güzelyurt Mahallesi,3+1,0,4,2. Kat,140,1,0,KombiDoğalgaz,320000
342,GÖKTAŞ YAPI'DAN HAFTANIN KELEPİRİ 2+1 MERKEZDE LÜKS DAİRE !!!!!!, Esenyurt, Ardıçlı Mahallesi,2+1,0,5,Giriş,100,1,0,KombiDoğalgaz,145000
343,GÖKTAŞ YAPI'DAN HEM UYGUN HEM KALİTELİ 2+1DAİRE FIRSATI SİZLERLE, Esenyurt, İnönü Mahallesi,2+1,0,4,1. Kat,105,1,0,KombiDoğalgaz,190000
344,BEYLİKDÜZÜ TÜYAP YAKINI DENİZ MANZARALI 3+1 SATILIK DAİRE, Esenyurt, Gökevler Mahallesi,3+1,11-20,9,9. Kat,145,1,0,KombiDoğalgaz,625000
345, ACIBADEM SAKİNLERDE 2+1 BAHÇE KAT SATILIK DAİRE, Kadıköy, Acıbadem Mahallesi,2+1,2,5,Bahçe Katı,80,1,0,KombiDoğalgaz,600000
346, ACIBADEM DOĞUŞ ÜNİVERSİTESİNE YAKIN 3+1 SATILIK DAİRE, Kadıköy, Hasanpaşa Mahallesi,3+1,20,4,1. Kat,120,1,0,KombiDoğalgaz,790000
347,SARAÇ EMLAK TAN KREDİLİ YUKSEK GİRİŞ İÇİNDE KİRACISI HAZIR , Bahçelievler, Zafer Mahallesi,2+1,11-20,4,Giriş,75,1,0,KombiDoğalgaz,240000
348,Caddebostan ışıklarda Köşe binada tabela değeri yüksek konut, Kadıköy, Caddebostan Mahallesi,3+1,20,5,2. Kat,135,1,0,Merkezi(PayÖlçer),3300000
349, KURTKÖY GRUP KENT VİLLARINDA İÇİ DIŞI ÖZEL YAPILI SATILIK VİLLA, Pendik, Yenişehir Mahallesi,5+1,20,3,Villa Tipi,355,3,1,KombiDoğalgaz,2200000
350,Ulus THY Sitesi Satılık 3+1 Bakımlı Daire, Beşiktaş, Ulus Mahallesi,3+1,20,6,Giriş,120,1,0,MerkeziDoğalgaz,1530000
351,ÇEKMEKÖY MEHMET AKİF'TE SATILIK 3+1 YÜKSEK GİRİŞ BALKONLU DAİRE, Çekmeköy, Mehmet Akif Mahallesi,3+1,5-10,4,Giriş,120,1,0,KombiDoğalgaz,475000
352,BAKIRKÖY Y MAHMARMARAY İST SAHİLE PAZARA YAKIN  KOMBİLİ GİRİŞKAT, Bakırköy, Yenimahalle Mahallesi,1+1,20,4,Giriş,60,1,0,KombiDoğalgaz,275000
353,CADDE ÜZERİNDE YENİ BİNA GARAJLI, Şişli, Mecidiyeköy Mahallesi,2+1,1,6,2. Kat,87,1,0,KombiDoğalgaz,700000
354,"TEŞVİKİYE HÜSREV GEREDEDE ÖNÜ AÇIK, DENİZ MANZARALI 4+1", Şişli, Teşvikiye Mahallesi,4+1,20,6,6. Kat,160,1,0,MerkeziDoğalgaz,3500000
355,ŞEREF EMLAK SATILIK KULLANISLI DAİRE 265000, Gaziosmanpaşa, Yıldıztabya Mahallesi,1+1,5-10,4,Giriş,70,1,0,KombiDoğalgaz,260000
356,KİPTAŞ GÖLEVLERİ SATILIK 1+1 DAİRE, Başakşehir, Bahçeşehir 1. Kısım Mahallesi,1+1,0,23,3. Kat,69,1,0,Merkezi(PayÖlçer),490000
357,ACİL SATILIK İSKANLI ARAKAT ASANSÖRLÜ, Sancaktepe, Eyüp Sultan Mahallesi,2+1,5-10,5,3. Kat,95,2,0,KombiDoğalgaz,485000
358,CEBECi MAH SATILIK BAHCE KATI, Sultangazi, Cebeci Mahallesi,2+1,11-20,5,Bahçe Katı,95,1,0,KombiDoğalgaz,195000
359,"İDEALTEPE'DE, SAHİLE YAKIN , 3+1, 135 M2, KEYİFLİ BAHÇE KATI", Maltepe, İdealtepe Mahallesi,3+1,20,5,Bahçe Katı,135,1,0,KombiDoğalgaz,825000
360,"""""SAHIBINDEN BAĞLARBAŞINDA CADDE ÜZERİNDE 2+1 80M2 3.KAT BALKONLU", Üsküdar, Murat Reis Mahallesi,2+1,20,4,3. Kat,80,1,0,KombiDoğalgaz,405000
361,IHLAMURDERE CADDE UZERINDE ŞÖMINELIDAİRE , Beşiktaş, Türkali Mahallesi,3+1,20,2,Giriş,120,2,0,KombiDoğalgaz,1500000
362,BEYLİKDÜZÜ SAHİLDE PANORAMİK DENİZ MANZARALI VİLLA, Beylikdüzü, Gürpınar Mahallesi,7+2,20,2,Villa Tipi,272,4,0,IsıtmaYok,1550000
363,"İst./FATİH/Dervişali;70m², 2+1, 5/2.kat  Dgz.Sobalı", Fatih, Derviş Ali Mahallesi,2+1,20,5,2. Kat,70,1,0,DoğalgazSobalı,335000
364,BAKIRKÖY Y MAH MARMARAYA YAKIN 2+190M2 TERS DUBLEKS GİRİŞ VE ÜST, Bakırköy, Yenimahalle Mahallesi,2+1,11-20,3,1. Kat,95,1,0,KombiDoğalgaz,550000
365,SON FIRSATLAR! PENDİK GÜLLÜBAĞLAR'DA SATILIK 2+1 LÜKS DAİRE, Pendik, Güllü Bağlar Mahallesi,2+1,1,9,8. Kat,105,1,0,Merkezi(PayÖlçer),650000
366,MEYDAN EMLAKTAN ATAKENT SOYAK OLİMPİYAKENTTE SATILIK VİLLA, Küçükçekmece, Atakent Mahallesi,5+2,11-20,2,Villa Tipi,350,2,0,MerkeziDoğalgaz,7100000
367,SON FIRSATLAR! PENDİK TE  SATILIK  SİTE İÇİNDE 2+1 SİTE  DAİRESİ, Pendik, Güllü Bağlar Mahallesi,2+1,0,9,7. Kat,160,1,0,Merkezi(PayÖlçer),599000
368,KOZA EMLAK'TAN 3+1 ÜSKÜDAR BAĞLARBAŞINDA SATILIK DAİRE, Üsküdar, Murat Reis Mahallesi,3+1,20,4,Bodrum,105,1,0,KombiDoğalgaz,400000
369,ÇATALCA ELBASANDA SATILIK İKİ ADET VİLLA, Çatalca, Elbasan Mahallesi,5+1,0,2,Villa Tipi,2100,2,0,KombiDoğalgaz,7000000
370,RİNGS AVM YAKININDA İÇİNDE HAZIR KİRACILI 3+1 120M2 LÜX DAİRE , Sancaktepe, Safa Mahallesi,3+1,0,4,3. Kat,120,2,0,KombiDoğalgaz,445000
371,Esenyurt cumhuriyet durağına 12 dk mesafede 2+1 satılık daire, Esenyurt, Piri Reis Mahallesi,2+1,2,12,3. Kat,102,1,0,MerkeziDoğalgaz,350000
372,BAKIRKÖY SAKIZAĞACI MAH 3+1 KOMBİLİ KENDİNE AYİT BAHCELİ 115 M2, Bakırköy, Sakızağacı Mahallesi,3+1,20,5,-2,120,1,0,KombiDoğalgaz,650000
373,Çatalca Kabakçada yeni havalanına yakın lüx villa, Çatalca, Kabakça Mahallesi,3+1,1,1,Giriş,1400,2,0,Klimalı,3500000
374,BULVAR İSTANBUL  DA TAPULU MUHTEŞEM MANZARALI 4+1 DAİRE, Başakşehir, Başakşehir Mahallesi,4+1,1,30,10-20,205,3,0,Merkezi(PayÖlçer),2490000
375,"  İst./FATİH/Draman Cad.; 2+1, 80m², 5/4.S.kt, Kombili", Fatih, Derviş Ali Mahallesi,2+1,20,5,4. Kat,80,1,0,KombiDoğalgaz,300000
376, Mertcan dan Hürriyet Mah 3+1 Balkonlu Kaçırılmaz Fırsat Satılık, Kartal, Hürriyet Mahallesi,3+1,1,8,7. Kat,120,1,0,KombiDoğalgaz,575000
377,AKBAYIRLAR'DAN GÜMÜŞPINAR'DA 3+1 125M2 İSKANLI SATILIK DAİRE, Kartal, Gümüşpınar Mahallesi,3+1,2,5,5. Kat,125,1,0,KombiDoğalgaz,699000
378, YAKUPLU'DA REAL YAPI FARKI İLE ARTIK EV SAHİBİ OLABİLİESİNİZ !, Beylikdüzü, Yakuplu Mahallesi,3+1,0,5,3. Kat,132,1,0,KombiDoğalgaz,216000
379, BEYLİKDÜZÜ'NDE METROBÜSE YÜRÜME MESAFELİ LÜX 2+1 DUBLEX DAİRE, Beylikdüzü, Yakuplu Mahallesi,2+1,0,6,2. Kat,135,2,0,KombiDoğalgaz,400000
380, DÖNÜŞÜM'DEN FIRSAT! KAÇMAZ GÜNEY CEPHE 3+1 SATILIK DAİRE, Pendik, Şeyhli Mahallesi,3+1,5-10,6,5. Kat,125,2,0,KombiDoğalgaz,545000
381, MARİN İNŞAAT'TAN METROBÜSE YAKIN YATIRIM İÇİN BİRE BİR DAİRELER!, Esenyurt, Güzelyurt Mahallesi,2+1,2,5,1. Kat,110,1,0,KombiDoğalgaz,193000
382, REAL YAPI İLE İNANILMAZ AMA GERÇEK FİYATLAR SİZLERLE !!, Beylikdüzü, Beylikdüzü OSB Mahallesi,3+1,0,7,3. Kat,135,1,0,KombiDoğalgaz,193000
383, VİLLA FOR SALE İN BEYLİKDÜZÜ 5+2 WİTH İNDEPENDANT PRİVATE POOL, Beylikdüzü, Sahil Mahallesi,5+2,0,3,Villa Tipi,365,5,0,KombiDoğalgaz,5000000
384, BAHÇELİEVLER CUMHURİYET MAH ÇİFT CEPHELİ 2+1 BAHÇEKAT DAİRE, Bahçelievler, Cumhuriyet Mahallesi,2+1,11-20,4,Bahçe Katı,85,1,0,KombiDoğalgaz,280000
385, maltepe satılık daire adatepe sahilde kombili 1+1 otoparklı, Maltepe, Feyzullah Mahallesi,1+1,20,4,Giriş,55,1,0,KombiDoğalgaz,258000
386, ESENYURT İNCİRTEPE'DE 2+1 ACİL SATILIK BAHÇE KATI DAİRE, Esenyurt, İncirtepe Mahallesi,2+1,5-10,5,Bahçe Katı,125,1,0,KombiDoğalgaz,185000
387, Mertcandan kurtköy mah sıfır binada 2+1 daire, Pendik, Kurtköy Mahallesi,2+1,0,9,1. Kat,95,1,0,KombiDoğalgaz,525000
388, BEYLİKDÜZÜ ALBAYRAK'TAN METROBÜSE YAKIN ŞIK TASARIMLI 2+1 DAİRE, Beylikdüzü, Yakuplu Mahallesi,2+1,3,6,Giriş,100,1,0,KombiDoğalgaz,305000
389,Sahibinden  YAKUPLU'DA SAHİBİNDEN SIFIRA YAKIN DAİRE, Beylikdüzü, Yakuplu Mahallesi,2+1,5-10,5,4. Kat,100,1,0,KombiDoğalgaz,500000
390, İNÖNÜDE METROYA ÇOK YAKIN KELEPİR 3+1, Ataşehir, İnönü Mahallesi,3+1,11-20,5,Giriş,115,1,0,KombiDoğalgaz,429000
391, İÇERENKÖYDE DEPREM YÖNETMENLİKLİ 3+1 İSKANLI , Ataşehir, İçerenköy Mahallesi,3+1,5-10,5,4. Kat,130,1,0,KombiDoğalgaz,910000
392, GÜNGÖREN DE SIFIR  BİNA DA  50M2 1+1  SATILIK  BAHÇE  KATLARI , Güngören, Haznedar Mahallesi,1+1,0,4,Bahçe Katı,50,1,0,KombiDoğalgaz,360000
393, Küçükyalı Mektep Cd Bahçe Kullanımlı 2+1, Maltepe, Küçükyalı Mahallesi,2+1,20,4,Giriş,100,1,0,KombiDoğalgaz,375000
394," ESENYURT YEŞİLKENT MAH, SIFIR KELEPİR 2+1 SATILIK BAHÇE KATI ", Esenyurt, Yeşilkent Mahallesi,2+1,0,5,Bahçe Katı,95,1,0,KombiDoğalgaz,180000
